nation_id,nation_name,nation_flag_big_pic,nation_flag_small_pic
0,Afghanistan,https://tmssl.akamaized.net//images/flagge/head/1.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/1.png?lm=1520611569
1,Albania,https://tmssl.akamaized.net//images/flagge/head/3.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/3.png?lm=1520611569
2,Algeria,https://tmssl.akamaized.net//images/flagge/head/4.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/4.png?lm=1520611569
3,Angola,https://tmssl.akamaized.net//images/flagge/head/6.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/6.png?lm=1520611569
4,Argentina,https://tmssl.akamaized.net//images/flagge/head/9.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/9.png?lm=1520611569
5,Armenia,https://tmssl.akamaized.net//images/flagge/head/10.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/10.png?lm=1520611569
6,Australia,https://tmssl.akamaized.net//images/flagge/head/12.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/12.png?lm=1520611569
7,Austria,https://tmssl.akamaized.net//images/flagge/head/127.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/127.png?lm=1520611569
8,Barbados,https://tmssl.akamaized.net//images/flagge/head/17.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/17.png?lm=1520611569
9,Belarus,https://tmssl.akamaized.net//images/flagge/head/18.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/18.png?lm=1520611569
10,Belgium,https://tmssl.akamaized.net//images/flagge/head/19.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/19.png?lm=1520611569
11,Benin,https://tmssl.akamaized.net//images/flagge/head/21.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/21.png?lm=1520611569
12,Bermuda,https://tmssl.akamaized.net//images/flagge/head/211.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/211.png?lm=1520611569
13,Bonaire,https://tmssl.akamaized.net//images/flagge/head/269.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/269.png?lm=1520611569
14,Bosnia-Herzegovina,https://tmssl.akamaized.net//images/flagge/head/24.png?lm=1569523290,https://tmssl.akamaized.net//images/flagge/small/24.png?lm=1569523290
15,Brazil,https://tmssl.akamaized.net//images/flagge/head/26.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/26.png?lm=1520611569
16,Bulgaria,https://tmssl.akamaized.net//images/flagge/head/28.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/28.png?lm=1520611569
17,Burkina Faso,https://tmssl.akamaized.net//images/flagge/head/29.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/29.png?lm=1520611569
18,Burundi,https://tmssl.akamaized.net//images/flagge/head/30.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/30.png?lm=1520611569
19,Cameroon,https://tmssl.akamaized.net//images/flagge/head/31.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/31.png?lm=1520611569
20,Canada,https://tmssl.akamaized.net//images/flagge/head/80.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/80.png?lm=1520611569
21,Cape Verde,https://tmssl.akamaized.net//images/flagge/head/32.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/32.png?lm=1520611569
22,Central African Republic,https://tmssl.akamaized.net//images/flagge/head/138.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/138.png?lm=1520611569
23,Chile,https://tmssl.akamaized.net//images/flagge/head/33.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/33.png?lm=1520611569
24,Colombia,https://tmssl.akamaized.net//images/flagge/head/83.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/83.png?lm=1520611569
25,Comoros,https://tmssl.akamaized.net//images/flagge/head/35.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/35.png?lm=1520611569
26,Congo,https://tmssl.akamaized.net//images/flagge/head/85.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/85.png?lm=1520611569
27,Costa Rica,https://tmssl.akamaized.net//images/flagge/head/36.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/36.png?lm=1520611569
28,Cote d'Ivoire,https://tmssl.akamaized.net//images/flagge/head/38.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/38.png?lm=1520611569
29,Croatia,https://tmssl.akamaized.net//images/flagge/head/37.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/37.png?lm=1520611569
30,Cuba,https://tmssl.akamaized.net//images/flagge/head/88.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/88.png?lm=1520611569
31,Curacao,https://tmssl.akamaized.net//images/flagge/head/260.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/260.png?lm=1520611569
32,Cyprus,https://tmssl.akamaized.net//images/flagge/head/188.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/188.png?lm=1520611569
33,Czech Republic,https://tmssl.akamaized.net//images/flagge/head/172.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/172.png?lm=1520611569
34,DR Congo,https://tmssl.akamaized.net//images/flagge/head/193.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/193.png?lm=1520611569
35,Denmark,https://tmssl.akamaized.net//images/flagge/head/39.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/39.png?lm=1520611569
36,Dominican Republic,https://tmssl.akamaized.net//images/flagge/head/43.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/43.png?lm=1520611569
37,Ecuador,https://tmssl.akamaized.net//images/flagge/head/44.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/44.png?lm=1520611569
38,Egypt,https://tmssl.akamaized.net//images/flagge/head/2.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/2.png?lm=1520611569
39,England,https://tmssl.akamaized.net//images/flagge/head/189.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/189.png?lm=1520611569
40,Equatorial Guinea,https://tmssl.akamaized.net//images/flagge/head/8.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/8.png?lm=1520611569
41,Eritrea,https://tmssl.akamaized.net//images/flagge/head/46.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/46.png?lm=1520611569
42,Estonia,https://tmssl.akamaized.net//images/flagge/head/47.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/47.png?lm=1520611569
43,Fiji,https://tmssl.akamaized.net//images/flagge/head/48.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/48.png?lm=1520611569
44,Finland,https://tmssl.akamaized.net//images/flagge/head/49.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/49.png?lm=1520611569
45,France,https://tmssl.akamaized.net//images/flagge/head/50.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/50.png?lm=1520611569
46,French Guiana,https://tmssl.akamaized.net//images/flagge/head/252.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/252.png?lm=1520611569
47,Gabon,https://tmssl.akamaized.net//images/flagge/head/51.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/51.png?lm=1520611569
48,Georgia,https://tmssl.akamaized.net//images/flagge/head/53.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/53.png?lm=1520611569
49,Germany,https://tmssl.akamaized.net//images/flagge/head/40.png?lm=1520612525,https://tmssl.akamaized.net//images/flagge/small/40.png?lm=1520612525
50,Ghana,https://tmssl.akamaized.net//images/flagge/head/54.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/54.png?lm=1520611569
51,Greece,https://tmssl.akamaized.net//images/flagge/head/56.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/56.png?lm=1520611569
52,Guadeloupe,https://tmssl.akamaized.net//images/flagge/head/251.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/251.png?lm=1520611569
53,Guinea,https://tmssl.akamaized.net//images/flagge/head/59.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/59.png?lm=1520611569
54,Guinea-Bissau,https://tmssl.akamaized.net//images/flagge/head/60.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/60.png?lm=1520611569
55,Guyana,https://tmssl.akamaized.net//images/flagge/head/61.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/61.png?lm=1520611569
56,Haiti,https://tmssl.akamaized.net//images/flagge/head/62.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/62.png?lm=1520611569
57,Honduras,https://tmssl.akamaized.net//images/flagge/head/66.png?lm=1699286249,https://tmssl.akamaized.net//images/flagge/small/66.png?lm=1699286249
58,Hungary,https://tmssl.akamaized.net//images/flagge/head/178.png?lm=1521635893,https://tmssl.akamaized.net//images/flagge/small/178.png?lm=1521635893
59,Iceland,https://tmssl.akamaized.net//images/flagge/head/73.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/73.png?lm=1520611569
60,Indonesia,https://tmssl.akamaized.net//images/flagge/head/68.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/68.png?lm=1520611569
61,Iraq,https://tmssl.akamaized.net//images/flagge/head/70.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/70.png?lm=1520611569
62,Ireland,https://tmssl.akamaized.net//images/flagge/head/72.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/72.png?lm=1520611569
63,Israel,https://tmssl.akamaized.net//images/flagge/head/74.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/74.png?lm=1520611569
64,Italy,https://tmssl.akamaized.net//images/flagge/head/75.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/75.png?lm=1520611569
65,Jamaica,https://tmssl.akamaized.net//images/flagge/head/76.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/76.png?lm=1520611569
66,Japan,https://tmssl.akamaized.net//images/flagge/head/77.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/77.png?lm=1520611569
67,Jordan,https://tmssl.akamaized.net//images/flagge/head/78.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/78.png?lm=1520611569
68,Kenya,https://tmssl.akamaized.net//images/flagge/head/82.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/82.png?lm=1520611569
69,"Korea, South",https://tmssl.akamaized.net//images/flagge/head/87.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/87.png?lm=1520611569
70,Kosovo,https://tmssl.akamaized.net//images/flagge/head/244.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/244.png?lm=1520611569
71,Latvia,https://tmssl.akamaized.net//images/flagge/head/92.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/92.png?lm=1520611569
72,Lebanon,https://tmssl.akamaized.net//images/flagge/head/94.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/94.png?lm=1520611569
73,Libya,https://tmssl.akamaized.net//images/flagge/head/96.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/96.png?lm=1520611569
74,Lithuania,https://tmssl.akamaized.net//images/flagge/head/98.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/98.png?lm=1520611569
75,Luxembourg,https://tmssl.akamaized.net//images/flagge/head/99.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/99.png?lm=1520611569
76,Malaysia,https://tmssl.akamaized.net//images/flagge/head/103.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/103.png?lm=1520611569
77,Mali,https://tmssl.akamaized.net//images/flagge/head/105.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/105.png?lm=1520611569
78,Martinique,https://tmssl.akamaized.net//images/flagge/head/207.png?lm=1699285669,https://tmssl.akamaized.net//images/flagge/small/207.png?lm=1699285669
79,Mauritania,https://tmssl.akamaized.net//images/flagge/head/108.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/108.png?lm=1520611569
80,Mexico,https://tmssl.akamaized.net//images/flagge/head/110.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/110.png?lm=1520611569
81,Moldova,https://tmssl.akamaized.net//images/flagge/head/112.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/112.png?lm=1520611569
82,Montenegro,https://tmssl.akamaized.net//images/flagge/head/216.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/216.png?lm=1520611569
83,Morocco,https://tmssl.akamaized.net//images/flagge/head/107.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/107.png?lm=1520611569
84,Mozambique,https://tmssl.akamaized.net//images/flagge/head/115.png?lm=1520611569,https://tmssl.akamaized.net//images/flagge/small/115.png?lm=1520611569
